CLOSE,DATE
1931.2,2022-03-16
1931.2,2022-03-17
1931.2,2022-03-18
1931.2,2022-03-21
1931.2,2022-03-22
1931.2,2022-03-23
1931.2,2022-03-24
1931.2,2022-03-25
1931.2,2022-03-28
2020.0,2022-03-29
1933.0,2022-03-30
2154.0,2022-03-30
2259.0,2022-03-31
2325.0,2022-04-01
2285.0,2022-04-04
2158.4,2022-04-05
2070.8,2022-04-06
2130.0,2022-04-07
2115.0,2022-04-08
2097.0,2022-04-11
2074.0,2022-04-12
2088.0,2022-04-13
1945.2,2022-04-14
1979.6,2022-04-15
1880.2,2022-04-18
1857.6,2022-04-19
1789.8,2022-04-20
1646.0,2022-04-21
1692.0,2022-04-22
1520.8,2022-04-25
1600.8,2022-04-26
1748.6,2022-04-27
1721.0,2022-04-28
1766.6,2022-04-29
1699.0,2022-05-04
1734.4,2022-05-05
1688.0,2022-05-06
1677.4,2022-05-11
1594.0,2022-05-12
1593.0,2022-05-13
1638.2,2022-05-16
1701.0,2022-05-17
1715.8,2022-05-18
1705.0,2022-05-19
1646.0,2022-05-20
1592.8,2022-05-23
1590.0,2022-05-24
1608.0,2022-05-25
1670.0,2022-05-26
1644.0,2022-05-27
1597.6,2022-05-30
1567.8,2022-05-31
1586.0,2022-06-01
1592.0,2022-06-02
1497.0,2022-06-03
1399.8,2022-06-06
1438.0,2022-06-07
1456.2,2022-06-08
1401.4,2022-06-09
1400.8,2022-06-10
1386.0,2022-06-14
1390.0,2022-06-15
1456.2,2022-06-16
1448.8,2022-06-17
1465.0,2022-06-17
1560.8,2022-06-20
1533.8,2022-06-21
1600.0,2022-06-22
1662.0,2022-06-23
1645.0,2022-06-24
1779.0,2022-06-27
1750.0,2022-06-28
1712.0,2022-06-29
1603.8,2022-06-30
1596.0,2022-07-01
1660.0,2022-07-04
1701.4,2022-07-05
1655.0,2022-07-06
1711.0,2022-07-07
1704.0,2022-07-08
1678.0,2022-07-11
1660.6,2022-07-12
1600.0,2022-07-13
1613.6,2022-07-14
1638.6,2022-07-15
1696.0,2022-07-18
1672.4,2022-07-19
1715.4,2022-07-20
1701.0,2022-07-21
1800.0,2022-07-22
1973.0,2022-07-25
2136.0,2022-07-26
2072.0,2022-07-27
2063.0,2022-07-28
1952.0,2022-07-29
1926.2,2022-08-01
1891.2,2022-08-02
1956.0,2022-08-03
2000.0,2022-08-04
1837.0,2022-08-05
1933.0,2022-08-08
1944.4,2022-08-09
1971.8,2022-08-10
1915.6,2022-08-11
1903.0,2022-08-12
1904.0,2022-08-15
1935.0,2022-08-16
1958.0,2022-08-17
1966.0,2022-08-18
1936.6,2022-08-19
2006.0,2022-08-22
2082.2,2022-08-23
2085.2,2022-08-24
2118.8,2022-08-25
2100.0,2022-08-26
2105.0,2022-08-29
2190.0,2022-08-30
2170.6,2022-08-31
2178.0,2022-09-01
2150.0,2022-09-02
2155.0,2022-09-05
2070.0,2022-09-06
2076.0,2022-09-07
2064.0,2022-09-08
2093.0,2022-09-09
2148.6,2022-09-12
2191.4,2022-09-13
2167.4,2022-09-14
2177.6,2022-09-15
2185.0,2022-09-16
2206.0,2022-09-16
2230.0,2022-09-19
2010.0,2022-09-20
1899.4,2022-09-21
1916.8,2022-09-22
1791.8,2022-09-23
1543.0,2022-09-26
1713.2,2022-09-27
1780.0,2022-09-28
1840.6,2022-09-29
1877.6,2022-09-30
1959.0,2022-10-03
1985.0,2022-10-04
2029.8,2022-10-05
2004.4,2022-10-06
1930.2,2022-10-07
1998.0,2022-10-10
2006.6,2022-10-11
2044.0,2022-10-12
2032.0,2022-10-13
1991.0,2022-10-14
2022.2,2022-10-17
1968.0,2022-10-18
1927.4,2022-10-19
1928.8,2022-10-20
1976.0,2022-10-21
1973.4,2022-10-24
2020.2,2022-10-25
2008.0,2022-10-26
2021.0,2022-10-27
2021.8,2022-10-28
2109.0,2022-10-31
2157.0,2022-11-01
2110.0,2022-11-02
2119.0,2022-11-03
2151.6,2022-11-07
2127.6,2022-11-08
2060.4,2022-11-09
2111.6,2022-11-10
2122.2,2022-11-11
2132.4,2022-11-14
2071.6,2022-11-15
2114.2,2022-11-16
2097.8,2022-11-17
2098.2,2022-11-18
2068.0,2022-11-21
2083.8,2022-11-22
2135.0,2022-11-23
2130.0,2022-11-24
2020.4,2022-11-25
1914.2,2022-11-28
1986.2,2022-11-29
1996.6,2022-11-30
1980.2,2022-12-01
1971.2,2022-12-02
1985.8,2022-12-05
1989.4,2022-12-06
1976.4,2022-12-07
1958.4,2022-12-08
1949.4,2022-12-09
1921.8,2022-12-12
1899.2,2022-12-13
1851.0,2022-12-14
1849.6,2022-12-15
1851.3,2022-12-16
1836.4,2022-12-16
1768.8,2022-12-19
1842.0,2022-12-20
1833.8,2022-12-21
1847.0,2022-12-22
1821.2,2022-12-23
1811.4,2022-12-26
1834.0,2022-12-27
1815.8,2022-12-28
1819.6,2022-12-29
1817.8,2022-12-30
1832.0,2023-01-03
1867.0,2023-01-04
1855.4,2023-01-05
1850.4,2023-01-06
1866.8,2023-01-09
1870.0,2023-01-10
1909.0,2023-01-11
1897.8,2023-01-12
1912.0,2023-01-13
1953.8,2023-01-16
1889.6,2023-01-17
1906.6,2023-01-18
1882.4,2023-01-19
1904.8,2023-01-20
1945.0,2023-01-23
1919.8,2023-01-24
1914.8,2023-01-25
1902.8,2023-01-26
1912.0,2023-01-27
1934.0,2023-01-30
2047.2,2023-01-31
2088.0,2023-02-01
2075.0,2023-02-02
2055.8,2023-02-03
2094.6,2023-02-06
2076.6,2023-02-07
2060.2,2023-02-08
2040.4,2023-02-09
2060.8,2023-02-10
2065.2,2023-02-13
2028.6,2023-02-14
1969.2,2023-02-15
1976.4,2023-02-16
1971.0,2023-02-17
1958.0,2023-02-20
1993.8,2023-02-21
1980.4,2023-02-22
1986.6,2023-02-24
2007.4,2023-02-27
2015.0,2023-02-28
2033.8,2023-03-01
1970.8,2023-03-02
1984.2,2023-03-03
1973.0,2023-03-06
1961.8,2023-03-07
1942.0,2023-03-09
1917.0,2023-03-10
1907.4,2023-03-13
1901.2,2023-03-14
1864.2,2023-03-15
